GEOID,NAME,mean
17031,Cook,15020.856481481482
17097,Lake,14800.814814814814
18039,Elkhart,15034.5
18141,St. Joseph,15034.5
18087,LaGrange,15034.5
18127,Porter,15099.581081081084
18091,LaPorte,15034.5
18151,Steuben,15039.75
26017,Bay,14994.0
26111,Midland,14994.0
26145,Saginaw,14994.0
26021,Berrien,14910.13793103448
26027,Cass,14969.058139534882
26035,Clare,14915.172413793101
26153,Schoolcraft,14623.639285714286
26003,Alger,14320.696700507613
26123,Newaygo,14875.920000000002
26151,Sanilac,14859.732283464567
26071,Iron,14577.006097560978
26131,Ontonagon,14481.21875
26013,Baraga,14574.5
26001,Alcona,14764.241379310344
26085,Lake,14827.216666666665
26009,Antrim,14740.822222222225
26143,Roscommon,14865.0
26095,Luce,14315.738095238095
26053,Gogebic,14607.0
26119,Montmorency,14743.666666666666
26135,Oscoda,14865.0
26129,Ogemaw,14865.0
26157,Tuscola,14994.0
26127,Oceana,14702.5
26141,Presque Isle,14664.684210526319
26137,Otsego,14748.0
26063,Huron,14864.295302013423
26069,Iosco,14756.065789473685
26029,Charlevoix,14697.26
26011,Arenac,14913.374999999998
26047,Emmet,14689.549295774646
26031,Cheboygan,14683.0
26051,Gladwin,14929.5
26039,Crawford,14865.0
26097,Mackinac,14558.450331125827
26101,Manistee,14735.419811320757
26133,Osceola,14835.25
26007,Alpena,14680.648148148148
26165,Wexford,14779.5
26113,Missaukee,14805.521739130436
26023,Branch,15009.395348837208
26041,Delta,14729.088028169013
26059,Hillsdale,15038.18181818182
26083,Keweenaw,14294.494588744592
26061,Houghton,14449.110169491525
26043,Dickinson,14669.59836065574
26075,Jackson,15025.0
26105,Mason,14714.555555555555
26109,Menominee,14758.0
26103,Marquette,14463.450000000003
26033,Chippewa,14512.030373831773
26089,Leelanau,14735.068292682927
26079,Kalkaska,14805.521739130436
26019,Benzie,14736.31451612903
26055,Grand Traverse,14775.978260869566
26057,Gratiot,14994.0
26073,Isabella,14975.68888888889
26025,Calhoun,14964.405405405405
26159,Van Buren,14799.375000000002
26077,Kalamazoo,14907.0
26149,St. Joseph,14992.0
26037,Clinton,15014.666666666668
26065,Ingham,15025.0
26045,Eaton,15006.644444444444
26155,Shiawassee,15012.674999999997
26091,Lenawee,15015.401785714286
26161,Washtenaw,15007.364864864867
26163,Wayne,15002.5
26087,Lapeer,14996.333333333334
26147,St. Clair,14948.781818181817
26093,Livingston,15009.5
26099,Macomb,15002.5
26125,Oakland,15002.5
26049,Genesee,14997.596153846152
26115,Monroe,14979.72
26107,Mecosta,14891.0
26139,Ottawa,14770.673228346455
26015,Barry,14907.0
26081,Kent,14899.0
26117,Montcalm,14916.327868852459
26005,Allegan,14804.829787234043
26067,Ionia,14939.333333333336
26121,Muskegon,14707.73611111111
27031,Cook,14524.949458483756
39051,Fulton,15028.375
39095,Lucas,14969.0
39171,Williams,15045.0
55003,Ashland,14584.123493975903
55125,Vilas,14681.20987654321
55041,Forest,14779.15625
55051,Iron,14607.0
55029,Door,14742.979381443298
55037,Florence,14780.0
55071,Manitowoc,14726.194444444445
55075,Marinette,14767.529411764706
55117,Sheboygan,14742.045454545454
55059,Kenosha,14812.2
55079,Milwaukee,14738.266304347824
55089,Ozaukee,14716.0
55101,Racine,14815.79746835443
55061,Kewaunee,14727.0
