GEOID,NAME,mean
17031,Cook,0.030010784256585217
17097,Lake,0.029669510959803535
18039,Elkhart,0.030293701099576055
18141,St. Joseph,0.0299906596127405
18087,LaGrange,0.030339616476369322
18127,Porter,0.03014286588582353
18091,LaPorte,0.0299906596127405
18151,Steuben,0.030290134655757767
26017,Bay,0.03039684368541972
26111,Midland,0.030550611138110202
26145,Saginaw,0.030466039039130442
26021,Berrien,0.029796456958756948
26027,Cass,0.030079555577468095
26035,Clare,0.02978965847219742
26153,Schoolcraft,0.02978887281014186
26003,Alger,0.029891625440423127
26123,Newaygo,0.02929609731515551
26151,Sanilac,0.03027763637049775
26071,Iron,0.028164006509284134
26131,Ontonagon,0.029263671936543938
26013,Baraga,0.02816020397202947
26001,Alcona,0.030113851781351484
26085,Lake,0.029471453164525457
26009,Antrim,0.029770559240928418
26143,Roscommon,0.029198172303313803
26095,Luce,0.029352426205596565
26053,Gogebic,0.02846637158754041
26119,Montmorency,0.0297413662309122
26135,Oscoda,0.029582180182582907
26129,Ogemaw,0.029582180182582907
26157,Tuscola,0.030308976569596593
26127,Oceana,0.030015296035030843
26141,Presque Isle,0.03027868070093748
26137,Otsego,0.02948100929704097
26063,Huron,0.03014255808231923
26069,Iosco,0.030057851011224948
26029,Charlevoix,0.029995239555482684
26011,Arenac,0.030423690333127175
26047,Emmet,0.0298021482758657
26031,Cheboygan,0.02963814096022273
26051,Gladwin,0.029874391720712004
26039,Crawford,0.029198172303313803
26097,Mackinac,0.02961012243864904
26101,Manistee,0.03019933911021081
26133,Osceola,0.02942094103187929
26007,Alpena,0.0302153490989238
26165,Wexford,0.029610951794638678
26113,Missaukee,0.029485323253800672
26023,Branch,0.030282427233716634
26041,Delta,0.030138206553364813
26059,Hillsdale,0.0302265514428668
26083,Keweenaw,0.029513365718502826
26061,Houghton,0.02886021689509721
26043,Dickinson,0.029344429703456278
26075,Jackson,0.03019928875112659
26105,Mason,0.03015892544447647
26109,Menominee,0.03011651631758251
26103,Marquette,0.029302480739998443
26033,Chippewa,0.02965524600665278
26089,Leelanau,0.030152065829796085
26079,Kalkaska,0.029485323253800672
26019,Benzie,0.030187396489814992
26055,Grand Traverse,0.029629010047360665
26057,Gratiot,0.030550611138110202
26073,Isabella,0.03031600120584526
26025,Calhoun,0.030233183539964285
26159,Van Buren,0.029725353577318658
26077,Kalamazoo,0.030265294392547357
26149,St. Joseph,0.03031484244842867
26037,Clinton,0.03031639621345446
26065,Ingham,0.03019928875112659
26045,Eaton,0.0302095562953476
26155,Shiawassee,0.030289171845134907
26091,Lenawee,0.03042148351029793
26161,Washtenaw,0.030103549927684818
26163,Wayne,0.030222748344620836
26087,Lapeer,0.030245334943604936
26147,St. Clair,0.030880606748052233
26093,Livingston,0.030115141294814164
26099,Macomb,0.030911568663071053
26125,Oakland,0.03007713921776984
26049,Genesee,0.03021089153613143
26115,Monroe,0.03071991249604949
26107,Mecosta,0.029230930269119902
26139,Ottawa,0.029723209986310905
26015,Barry,0.030265294392547357
26081,Kent,0.029748112330833628
26117,Montcalm,0.02955544195821588
26005,Allegan,0.02974923032159234
26067,Ionia,0.03005246963875474
26121,Muskegon,0.029991447485075182
27031,Cook,0.029000048053074892
39051,Fulton,0.03041165872343877
39095,Lucas,0.03102239403876933
39171,Williams,0.030240652835146212
55003,Ashland,0.028850984351236755
55125,Vilas,0.02827419003756269
55041,Forest,0.02845183526540764
55051,Iron,0.028738299564852035
55029,Door,0.030110231728447977
55037,Florence,0.02847201202691181
55071,Manitowoc,0.02976238445949859
55075,Marinette,0.02926987634585411
55117,Sheboygan,0.0296407351974225
55059,Kenosha,0.029635718665136847
55079,Milwaukee,0.029722086057948485
55089,Ozaukee,0.029720950212056046
55101,Racine,0.029625041042532586
55061,Kewaunee,0.029853948369298982
